LATITUDE,LONGITUDE,DISTANCE_TO_CENTRAL,GEO_CLUSTER,MECHANISM_BINARY,SPECIES_LABEL
6.5333,2.6667,1849.032399893325,0,1,17
6.5333,2.6667,1849.032399893325,0,0,17
6.7072,2.4964,1865.9928709396627,0,1,7
6.7072,2.4964,1865.9928709396627,0,0,7
-0.1726,34.9198,1943.372389926523,3,0,4
-0.1726,34.9198,1943.372389926523,3,0,4
-3.5608,142.6756,13744.761476151722,2,0,37
-3.5608,142.6756,13744.761476151722,2,0,37
6.352431,2.383333,1882.2717139856268,0,1,7
6.352431,2.383333,1882.2717139856268,0,0,7
-0.183034,34.38381,1891.2515912665588,3,1,17
-0.183034,34.38381,1891.2515912665588,3,1,18
12.180204,-0.351302,2211.251497721356,4,0,18
10.6333,-4.7667,2667.123514472523,4,1,18
10.6333,-4.7667,2667.123514472523,4,1,18
6.5333,3.3833,1770.170670747854,0,1,7
6.5333,3.3833,1770.170670747854,0,0,7
6.5333,3.3833,1770.170670747854,0,0,7
13.30995,-14.21373,3719.0096459637566,4,1,4
13.30995,-14.21373,3719.0096459637566,4,1,4
13.30995,-14.21373,3719.0096459637566,4,1,7
13.30995,-14.21373,3719.0096459637566,4,1,7
13.30995,-14.21373,3719.0096459637566,4,1,17
13.30995,-14.21373,3719.0096459637566,4,1,18
13.30995,-14.21373,3719.0096459637566,4,1,18
-5.288054,145.755018,14105.947057155134,2,0,13
-5.288054,145.755018,14105.947057155134,2,0,13
-5.288054,145.755018,14105.947057155134,2,0,14
-5.288054,145.755018,14105.947057155134,2,0,14
7.1833,2.0692,1909.1858779508568,0,1,4
7.1833,2.0692,1909.1858779508568,0,1,4
7.1833,2.0692,1909.1858779508568,0,1,17
7.1833,2.0692,1909.1858779508568,0,0,17
7.1833,2.0692,1909.1858779508568,0,1,7
7.1833,2.0692,1909.1858779508568,0,1,18
-5.4883,144.7825,14000.954999203816,2,0,37
-5.4883,144.7825,14000.954999203816,2,0,37
0.137672,34.026068,1839.3800301641834,3,0,4
0.137672,34.026068,1839.3800301641834,3,0,4
0.137672,34.026068,1839.3800301641834,3,0,18
0.137672,34.026068,1839.3800301641834,3,1,18
1.8188,31.3249,1486.7966126275378,3,1,18
1.8188,31.3249,1486.7966126275378,3,0,4
0.583333,34.583333,1872.2673285178003,3,0,18
0.583333,34.583333,1872.2673285178003,3,1,18
0.583333,34.583333,1872.2673285178003,3,0,4
0.583333,34.583333,1872.2673285178003,3,0,4
-16.2167,26.7333,2786.3708587734864,3,0,4
-16.2167,26.7333,2786.3708587734864,3,0,4
6.3667,2.4334,1876.5950730854615,0,1,7
14.7416,-17.4228,4080.81789931684,4,1,4
14.7416,-17.4228,4080.81789931684,4,1,4
6.5782,2.5577,1860.54972375699,0,1,17
6.5782,2.5577,1860.54972375699,0,1,7
6.5782,2.5577,1860.54972375699,0,1,7
6.5782,2.5577,1860.54972375699,0,1,7
6.5782,2.5577,1860.54972375699,0,1,7
6.5782,2.5577,1860.54972375699,0,0,17
12.466667,-3.45,2548.723756022971,4,1,7
12.466667,-3.45,2548.723756022971,4,1,18
12.466667,-3.45,2548.723756022971,4,1,17
12.466667,-3.45,2548.723756022971,4,1,18
12.466667,-3.45,2548.723756022971,4,1,7
12.466667,-3.45,2548.723756022971,4,0,4
12.466667,-3.45,2548.723756022971,4,0,4
14.4974,-14.4523,3759.8868756151874,4,1,18
-4.8007,145.624,14085.81474981461,2,0,13
-4.8007,145.624,14085.81474981461,2,0,13
-4.8007,145.624,14085.81474981461,2,0,37
-4.8007,145.624,14085.81474981461,2,0,37
-3.5445,142.7712,13755.079700688646,2,0,37
-3.5445,142.7712,13755.079700688646,2,0,37
7.3982,4.0491,1689.5817147174255,0,1,7
7.3982,4.0491,1689.5817147174255,0,0,7
7.3982,4.0491,1689.5817147174255,0,0,7
-6.6304,147.8611,14351.901402636524,2,0,14
-6.6304,147.8611,14351.901402636524,2,0,14
-6.6304,147.8611,14351.901402636524,2,0,25
-6.6304,147.8611,14351.901402636524,2,0,25
-6.6304,147.8611,14351.901402636524,2,0,37
-6.6304,147.8611,14351.901402636524,2,0,37
-6.5899,147.8223,14347.252883712847,2,0,14
-6.5899,147.8223,14347.252883712847,2,0,14
-6.5899,147.8223,14347.252883712847,2,0,25
-6.5899,147.8223,14347.252883712847,2,0,25
-6.5899,147.8223,14347.252883712847,2,0,37
-6.5899,147.8223,14347.252883712847,2,0,37
14.76,-17.4105,4079.7366529826077,4,1,4
